Id,SalePrice
1461,124331.93
1462,162424.52
1463,184643.12
1464,193356.4
1465,179202.64
1466,180045.17
1467,172964.66
1468,164238.03
1469,184057.92
1470,128748.66
1471,197340.2
1472,93058.32
1473,94628.55
1474,152702.42
1475,128752.4
1476,346497.7
1477,254198.14
1478,297795.84
1479,256257.73
1480,410507.97
1481,321297.2
1482,205049.83
1483,169379.17
1484,166287.89
1485,181524.98
1486,189736.88
1487,354752.88
1488,221545.48
1489,204876.86
1490,221712.83
1491,189527.34
1492,89199.36
1493,180246.25
1494,289091.44
1495,305744.47
1496,247452.73
1497,179368.61
1498,159003.47
1499,159736.9
1500,152127.06
1501,179111.48
1502,148560.06
1503,302295.88
1504,224876.17
1505,229938.73
1506,186386.53
1507,237470.02
1508,198915.31
1509,167838.3
1510,147580.95
1511,142650.92
1512,169558.89
1513,150585.16
1514,169303.9
1515,189093.17
1516,155136.4
1517,159038.17
1518,130996.66
1519,224129.81
1520,137684.98
1521,139126.33
1522,162870.84
1523,110937.76
1524,126404.555
1525,128584.69
1526,125354.664
1527,102246.65
1528,132648.53
1529,147429.48
1530,173257.88
1531,103728.836
1532,100618.195
1533,147962.83
1534,113208.305
1535,157629.78
1536,111857.414
1537,65972.26
1538,177569.75
1539,199912.61
1540,83961.12
1541,145956.47
1542,141549.75
1543,215527.92
1544,78967.64
1545,100560.06
1546,129600.055
1547,134297.47
1548,140223.56
1549,116907.99
1550,148798.06
1551,113991.48
1552,139472.77
1553,150045.16
1554,109033.69
1555,174052.08
1556,78492.48
1557,112456.195
1558,88596.19
1559,77404.77
1560,142420.9
1561,135117.28
1562,128252.53
1563,124952.43
1564,157953.36
1565,142119.1
1566,234384.78
1567,79497.96
1568,230944.78
1569,144288.47
1570,123055.99
1571,112686.086
1572,155411.11
1573,243118.05
1574,122272.41
1575,223108.98
1576,232465.84
1577,199584.02
1578,151624.72
1579,144181.14
1580,186216.9
1581,157782.9
1582,127734.95
1583,331166.5
1584,232690.16
1585,141583.8
1586,77195.71
1587,98042.46
1588,156138.56
1589,97827.23
1590,140392.05
1591,96519.19
1592,122485.45
1593,132974.27
1594,141501.8
1595,112196.76
1596,235997.8
1597,193472.75
1598,212487.02
1599,183185.67
1600,187027.14
1601,71429.14
1602,107226.99
1603,80278.68
1604,286996.06
1605,245997.2
1606,170984.23
1607,184330.83
1608,215531.7
1609,190302.45
1610,151673.05
1611,143102.53
1612,164661.02
1613,157148.6
1614,126891.14
1615,85910.0
1616,64950.54
1617,87427.79
1618,126372.26
1619,148059.14
1620,147476.45
1621,132452.64
1622,146547.53
1623,288084.22
1624,218826.39
1625,126118.93
1626,169607.28
1627,186930.75
1628,275910.94
1629,179886.61
1630,317918.3
1631,223068.3
1632,245020.75
1633,176270.2
1634,183085.81
1635,186958.47
1636,154356.02
1637,177109.23
1638,205048.56
1639,183329.34
1640,273617.0
1641,180649.17
1642,228521.19
1643,216499.97
1644,222228.17
1645,184973.86
1646,158532.84
1647,159664.27
1648,129335.69
1649,137943.34
1650,113015.3
1651,123812.15
1652,90340.47
1653,92040.52
1654,153179.53
1655,142736.67
1656,145013.2
1657,150209.83
1658,147140.0
1659,137940.73
1660,150456.14
1661,395852.47
1662,387684.84
1663,378245.53
1664,294450.78
1665,313689.78
1666,332249.7
1667,363979.03
1668,336461.9
1669,301711.22
1670,346436.66
1671,272203.16
1672,358141.0
1673,292029.0
1674,255987.55
1675,184930.89
1676,188737.86
1677,224236.81
1678,304707.97
1679,361957.4
1680,340279.34
1681,266429.06
1682,322944.1
1683,172003.44
1684,163270.64
1685,175033.77
1686,168216.14
1687,173814.39
1688,179091.17
1689,184310.16
1690,187200.95
1691,178949.72
1692,284301.12
1693,171200.72
1694,184111.1
1695,168703.11
1696,279168.8
1697,178122.23
1698,371803.66
1699,313864.47
1700,252864.11
1701,255063.92
1702,262859.0
1703,251583.92
1704,294289.78
1705,234503.56
1706,284900.7
1707,215513.22
1708,213180.16
1709,272052.62
1710,215534.92
1711,257556.22
1712,235164.25
1713,270858.22
1714,222302.58
1715,211457.03
1716,189979.84
1717,174978.02
1718,141588.86
1719,200937.69
1720,250905.55
1721,172899.89
1722,139121.78
1723,152778.06
1724,204181.08
1725,243799.52
1726,184336.53
1727,154673.39
1728,163249.69
1729,168898.77
1730,170843.1
1731,122536.75
1732,135321.08
1733,119679.13
1734,119396.31
1735,127917.54
1736,114724.78
1737,352616.4
1738,212742.83
1739,277749.47
1740,229925.27
1741,202724.58
1742,171935.69
1743,170101.25
1744,309329.44
1745,217592.23
1746,226943.47
1747,220579.8
1748,216469.81
1749,153133.44
1750,127845.99
1751,232234.64
1752,124135.19
1753,139618.72
1754,200545.14
1755,165138.39
1756,137544.8
1757,125432.69
1758,146380.38
1759,160560.28
1760,167273.08
1761,135200.73
1762,174981.88
1763,183758.52
1764,117672.38
1765,159144.73
1766,179223.27
1767,213159.2
1768,147000.53
1769,176839.19
1770,144437.25
1771,134155.33
1772,142996.42
1773,134354.28
1774,133346.3
1775,138681.73
1776,130784.29
1777,115046.43
1778,144425.53
1779,122445.8
1780,172774.45
1781,138821.97
1782,92409.29
1783,130406.11
1784,106374.59
1785,125702.73
1786,144875.9
1787,164753.16
1788,51185.027
1789,103313.32
1790,87233.555
1791,182682.3
1792,152676.7
1793,120670.46
1794,153688.05
1795,134581.45
1796,118598.68
1797,117711.516
1798,124775.234
1799,118464.555
1800,151663.92
1801,125006.516
1802,136898.72
1803,149472.77
1804,137464.4
1805,136828.9
1806,106486.18
1807,127723.28
1808,128629.87
1809,118865.79
1810,148382.39
1811,92988.77
1812,103337.164
1813,120932.93
1814,99746.336
1815,58037.68
1816,99747.54
1817,116127.0
1818,136494.8
1819,120101.48
1820,50623.176
1821,101993.84
1822,154085.73
1823,40472.254
1824,134736.58
1825,136465.48
1826,99740.66
1827,106009.555
1828,141146.25
1829,111096.88
1830,140910.38
1831,165031.72
1832,67002.7
1833,127600.234
1834,115815.586
1835,128939.51
1836,116810.59
1837,81807.87
1838,125195.55
1839,92848.94
1840,168223.31
1841,146727.34
1842,79330.516
1843,128051.67
1844,144400.95
1845,140241.69
1846,163126.36
1847,162631.7
1848,53591.15
1849,123831.4
1850,120263.13
1851,153285.34
1852,132600.0
1853,131481.34
1854,165097.08
1855,137328.25
1856,207393.58
1857,163429.62
1858,142914.34
1859,125287.164
1860,150672.19
1861,125287.164
1862,315776.75
1863,299697.28
1864,299697.28
1865,335876.78
1866,334447.4
1867,247546.06
1868,300402.2
1869,198342.06
1870,247976.36
1871,261840.06
1872,168069.72
1873,233162.25
1874,146957.48
1875,200974.17
1876,198677.95
1877,214754.33
1878,201313.89
1879,135818.48
1880,131852.06
1881,230248.19
1882,253033.98
1883,187913.66
1884,206408.3
1885,252257.33
1886,306117.16
1887,210613.9
1888,261651.17
1889,159152.98
1890,132430.33
1891,137606.27
1892,106672.43
1893,131447.12
1894,129408.91
1895,131518.98
1896,126433.6
1897,104719.92
